lead_time_bucket,flight_count,avg_price,median_price,min_price,max_price,std_price
0-3,805832,400.41304598228913,358.6,30.69,4752.6,227.3673516276816
4-7,1052013,399.6666750981214,362.2,29.59,4752.6,220.8481189629201
8-14,1827298,402.78179122945465,371.6,29.59,7554.2,224.02302469463905
15-30,3153881,410.70515212844117,381.6,30.69,8260.61,226.56283594229635
31-60,4935909,392.5197884867813,365.6,30.69,8260.61,209.53768593385965
