rota,aktarma_sayısı,avg_pricekm,median_price,min_price,max_price,std_price
ATL-BOS,51424,0.3335635043470503,0.315311510031679,0.04007183908045977,2.206833333333333,0.14370526299962827
ATL-CLT,19894,0.8101703217706523,0.6517543859649123,0.10675287356321839,8.428070175438597,0.5044442730673337
ATL-DEN,30736,0.30274664019555725,0.300571791613723,0.055876436781609196,1.2548467274233637,0.11834087692436406
ATL-DFW,14682,0.3459885960941251,0.3428965517241379,0.04451867816091954,2.8132413793103446,0.14934292824987555
ATL-DTW,36798,0.36206858532770103,0.32253408179631116,0.03073994252873563,2.187039563437926,0.21577703624808825
ATL-EWR,24166,0.28117986298738956,0.27375328083989503,0.02915948275862069,2.021784776902887,0.14961232034895072
ATL-IAD,12738,0.44054378140036354,0.40961182994454715,0.10546792849631965,2.2136968576709797,0.1578115804657779
ATL-JFK,30736,0.3714224727229002,0.32646121147715196,0.0691764705882353,2.457179487179487,0.18973295997338888
ATL-LAX,77060,0.24600706286368249,0.24584309730005094,0.036643274853801165,1.1058157488419968,0.05894167543227874
ATL-LGA,37763,0.26919404494757937,0.2606299212598425,0.04007183908045977,2.7002755905511813,0.11208210376232927
ATL-MIA,23288,0.28925838840797513,0.2665326902465166,0.02204741379310345,3.438926174496644,0.1838693699736912
ATL-OAK,67593,0.2912415020095666,0.2849885583524028,0.06021375464684015,1.0155244252873563,0.08685831807392622
ATL-ORD,29493,0.3663487914036474,0.3193333333333333,0.03073994252873563,2.864333333333333,0.23369559347726995
ATL-PHL,24214,0.32208353502098397,0.3037481259370315,0.03073994252873563,2.4401949025487255,0.17640564736097927
ATL-SFO,47037,0.24034387120132816,0.23353629976580798,0.03516427579824155,1.037787356321839,0.07533580897977736
BOS-ATL,57273,0.3254743316463481,0.315311510031679,0.040143678160919544,6.724864864864864,0.16069931627707612
BOS-CLT,40139,0.27008891970883236,0.24876712328767123,0.05627615062761506,2.2879120879120878,0.12928405980105329
BOS-DEN,52257,0.23966495112880748,0.2300433944069431,0.05968077956989248,1.603808180535966,0.07453574659068815
BOS-DFW,49611,0.19637962758050811,0.18804627249357328,0.04530526315789474,1.4856041131105397,0.07301578156919104
BOS-DTW,48298,0.3778489474783116,0.35144694533762055,0.05645833333333333,2.935223880597015,0.17489201728725776
BOS-EWR,9539,0.5682845460548268,0.40324324324324323,0.039224137931034485,6.7005405405405405,0.50425790858147
